"LOC","STA","STATION","C","BAND","SPN","NUMB","SPEC","AGE","HA","WRP","SEX","HS","SK","CP","BP","F","BM","FM","FW","JP","WNG","WEIGHT","STATUS","DATE","TIME","NET","ANET","DISP","PPC","SSC","PPF","SSF","TT","RR","HD","UPP","UNP","BPL","NF","FP","N","B","A","BRSTAT","IP","SP","year"
"MORA",11273,"SSPT","N","224167932",166500,"14810","SWTH","1","P",,"F","PB","6","0","4","0","0","N","2","0",89,36,"300",2018-07-06,"103","05","05",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","07","A",2018
"MORA",11273,"SSPT","N","224167933",166500,"14810","SWTH","6","P",,"M","C","6","2","0","0","0","N","2","0",95,28,"300",2018-07-06,"110","06","06",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","07","A",2018
"MORA",11273,"SSPT","N","224167935",166500,"14810","SWTH","1","SP",,"F","B","6","0","1","0","0","N","2","0",96,27,"300",2018-07-19,"065","02","02",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","08","A",2018
"MORA",11273,"SSPT","R","224167935",166500,"14810","SWTH","1","P",,"F","P",,"0","1","0","0","N","2","0",97,26,"300",2018-07-19,"101","?","?",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","08","A",2018
"MORA",11273,"SSPT","N","224167936",166500,"14810","SWTH","2","PS",,"U",,"1","0","0","0","3","N","0","3",95,29,"300",2018-07-27,"080","03","03",,"J","J","J","J","J","J",,,,"J",,"-","-","*","*","B","09","A",2018
"MORA",11273,"SSPT","N","224167937",166500,"14810","SWTH","2","PS",,"U",,"1","0","0","0","3","N","0","3",95,30,"300",2018-07-27,"080","03","03",,"J","J","J","J","J","J",,,,"J",,"-","-","*","*","B","09","A",2018
"MORA",11273,"SSPT","N","224167938",166500,"14810","SWTH","2","PS",,"U",,"1","0","0","0","3","N","0","3",91,31,"300",2018-07-27,"080","03","03",,"J","J","J","J","J","J",,,,"J",,"-","-","*","*","B","09","A",2018
"MORA",11273,"SSPT","N","121277204",168600,"15000","AMRO","6","P",,"M","C",,"2","0","0","0","N","2",,127,77,"300",2017-06-07,"054","02","02",,"B","B","B","B","B","B",,,,,,"-","-","*","*","B","04","A",2017
"MORA",11273,"SSPT","R","121277204",168600,"15000","AMRO","6","P",,"M","CP",,"2","0","0","0","N","1","0",132,72,"300",2018-06-06,"063","03","03",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","04","A",2018
"MORA",11273,"SSPT","R","121277204",168600,"15000","AMRO","6","P",,"M","C",,"3","0","0","0","N","1","0",131,74,"300",2018-06-11,"055","03","03",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","05","A",2018
"MORA",11273,"SSPT","N","121277206",168600,"15000","AMRO","5","PS",,"F","B",,"0","1","0","0","N","2","0",134,99,"300",2017-06-13,"065","02","02",,"B","L","B","B","B","B",,,,,,"-","-","*","*","B","05","A",2017
"MORA",11273,"SSPT","N","121277207",168600,"15000","AMRO","1","Y",,"F","PB","6","0","2","0","0","N","2",,123,75,"300",2017-06-27,"054","08","08",,,,"B","B",,,,,,,,"-","-","*","*","B","06","A",2017
"MORA",11273,"SSPT","R","121277207",168600,"15000","AMRO","6","P",,"F","P",,"0","1","1","0","N","1","0",125,73,"300",2018-06-07,"085","10","10",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","04","B",2018
"MORA",11273,"SSPT","R","121277207",168600,"15000","AMRO","6","P",,"F","PB",,"0","1","0","0","N","1","0",124,0,"300",2018-06-11,"083","06","06",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","05","A",2018
"MORA",11273,"SSPT","N","121277208",168600,"15000","AMRO","2","PS",,"U",,"1","0","0","0","0","N","1","3",130,75,"300",2017-07-07,"053","07","07",,"J","J","J","J","J","J",,,,"J","J","-","-","*","*","B","07","A",2017
"MORA",11273,"SSPT","N","121277209",168600,"15000","AMRO","2","PS",,"U",,"1","0","0","0","0","N","1","3",135,75,"300",2017-07-07,"073","09","09",,"J","J","J","J","J","J",,,,"J","J","-","-","*","*","B","07","A",2017
"MORA",11273,"SSPT","N","121277210",168600,"15000","AMRO","1","SP",,"F","B","6","0","2","0","0","N","2","0",133,0,"300",2017-07-07,"090","09","09",,"B","B","B","B","B","B",,,,"B","B","-","-","*","*","B","07","A",2017
"MORA",11273,"SSPT","N","121277214",168600,"15000","AMRO","1","B",,"F","B","6","0","2","0","0","N","1","0",131,78,"300",2017-07-20,"083","06","06",,"B","B","B","B","B","B",,,,,,"-","-","*","*","B","09","A",2017
"MORA",11273,"SSPT","R","121277214",168600,"15000","AMRO","6","P",,"F","B",,"0","1","0","0","N","1","0",131,78,"300",2018-06-07,"085","01","01",,"B","B","B","B","B","B",,,,,,"-","-","*","*","B","04","B",2018
"MORA",11273,"SSPT","R","121277214",168600,"15000","AMRO","6","P",,"F","PB",,"0","2","0","0","N","1","0",130,68,"300",2018-06-11,"103","01","01",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","05","A",2018
"MORA",11273,"SSPT","N","121277218",168600,"15000","AMRO","6","P",,"M","C",,"1","0","0","0","N","1","0",136,72,"300",2018-06-06,"070","05","05",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","04","A",2018
"MORA",11273,"SSPT","R","121277218",168600,"15000","AMRO","6","P",,"M","P",,"1","0","0","0","N","1","0",135,71,"300",2018-06-11,"103","08","08",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","05","A",2018
"MORA",11273,"SSPT","N","121277219",168600,"15000","AMRO","6","P",,"M","C",,"1","0","0","0","N","1","0",127,79,"300",2018-06-06,"093","09","09",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","04","A",2018
"MORA",11273,"SSPT","N","121277220",168600,"15000","AMRO","6","P",,"F","BP",,"0","1","0","0","N","1","0",130,75,"300",2018-06-07,"093","03","03",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","04","B",2018
"MORA",11273,"SSPT","N","121277221",168600,"15000","AMRO","6","P",,"F","B",,"0","1","1","0","N","1","0",125,83,"300",2018-06-11,"055","01","01",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","05","A",2018
"MORA",11273,"SSPT","N","121277222",168600,"15000","AMRO","6","P",,"M","C",,"2","0","0","0","N","2","0",131,79,"300",2018-06-11,"103","07","07",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","05","A",2018
"MORA",11273,"SSPT","N","121277223",168600,"15000","AMRO","6","P",,"F","B",,"0","1","0","0","N","1","0",119,0,"300",2018-06-11,"103","08","08",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","05","A",2018
"MORA",11273,"SSPT","N","121277224",168600,"15000","AMRO","2","SJ",,"U",,"1","0","0","0","0","N","0","3",128,79,"300",2018-06-26,"100","01","01",,"J","J","J","J","J","J",,,,"J",,"-","-","*","*","B","06","A",2018
"MORA",11273,"SSPT","N","121277225",168600,"15000","AMRO","1","P",,"M","C",,"3","0","0","0","N","1","0",128,0,"300",2018-07-06,"070","01","01",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","07","A",2018
"MORA",11273,"SSPT","N","121277227",168600,"15000","AMRO","1","CP",,"M","C",,"3","0","0","0","N","1","0",133,78,"300",2018-07-06,"090","05","05",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","07","A",2018
"MORA",11273,"SSPT","N","121277228",168600,"15000","AMRO","2","PS",,"U",,"1","0","0","0","0","N","0","0",126,85,"300",2018-07-06,"090","01","01",,"J","J","J","J","J","J",,,,"J",,"-","-","*","*","B","07","A",2018
"MORA",11273,"SSPT","N","121277229",168600,"15000","AMRO","1","P",,"F","B",,"0","1","0","0","N","2","0",139,92,"300",2018-07-06,"100","08","08",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","07","A",2018
"MORA",11273,"SSPT","N","121277205",169200,"15060","VATH","2","PS",,"U",,,"0","0","0","0","N","1","3",126,72,"300",2017-06-13,"065","02","02",,"J","J","J","J","J","J",,,,,,"-","-","*","*","O","05","A",2017
"MORA",11273,"SSPT","N","121277213",169200,"15060","VATH","6","P",,"F","B","6","0","1","0","0","N","1","0",126,69,"300",2017-07-20,"063","03","03",,"B","B","B","B","B","B",,,,,,"-","-","*","*","O","09","A",2017
"MORA",11273,"SSPT","N","121277226",169200,"15060","VATH","2","S",,"U",,"2","0","0","0","0","N","1","3",121,0,"300",2018-07-06,"070","02","02",,"J","J","J","J","J","J",,,,"J","J","-","-","*","*","O","07","A",2018
"MORA",11273,"SSPT","N","224167931",172200,"15550","CEDW","1","S",,"U",,,"0","0","0","0","N","1",,92,27,"300",2018-07-06,"054","04","04",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","O","07","A",2018
"MORA",11273,"SSPT","U","7806",212600,"15810","BTYW","1","F",,"M","P",,"1","0","0","0","N","3","0",62,0,"000",2017-06-13,"065","09","09","D",,,,,,,,,,,,"-","-","*","*","B","05","A",2017
"MORA",11273,"SSPT","N","279049206",212600,"15810","BTYW","1","Y",,"M","P","6","2","0","0","0","S","3","0",59,8,"300",2017-06-27,"061","07","07",,"B","B","B","B","B","B",,,,,,"-","-","*","*","B","06","A",2017
"MORA",11273,"SSPT","R","279049206",212600,"15810","BTYW","1","C",,"M","P",,"2","0",,,,,,0,0,"300",2017-07-07,"060","09","09",,,,,,,,,,,,,"-","-","*","*","B","07","A",2017
"MORA",11273,"SSPT","N","279049211",212600,"15810","BTYW","1","Y",,"F","P",,"0","1","0","0","N","1","0",58,10,"300",2018-06-11,"065","08","08",,"B","B","B","B","B","B",,,,"B","B","-","-","*","*","B","05","A",2018
"MORA",11273,"SSPT","R","279049211",212600,"15810","BTYW","1","S",,"F","P","6","0","4","0","0","N","2","0",58,9,"300",2018-08-04,"073","08","08",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","10","A",2018
"MORA",11273,"SSPT","N","279049213",212600,"15810","BTYW","6","P",,"M","CP",,"3","0","0","0","A","2","0",63,10,"300",2018-06-26,"064","07","07",,"B","B","B","B","B","B",,,,"B","B","-","-","*","*","B","06","A",2018
"MORA",11273,"SSPT","N","279049221",212600,"15810","BTYW","2","SJ",,"M","P","2","0","0","0","3","A","1","2",61,10,"300",2018-08-04,"070","10","10",,,,,,,,,,,,,"-","-","*","*","B","10","A",2018
"MORA",11273,"SSPT","N","279049222",212600,"15810","BTYW","2","SJ",,"U",,"2","0","0","0","2","J","1","3",60,9,"300",2018-08-04,"070","10","10",,,,,,,,,,,,,"-","-","*","*","B","10","A",2018
"MORA",11273,"SSPT","N","279049223",212600,"15810","BTYW","1","P",,"M","P",,"0","0","0","1","A","2","0",62,9,"300",2018-08-04,"070","10","10",,"B","B","B","B","B","B",,,,"B","B","-","-","*","*","B","10","A",2018
"MORA",11273,"SSPT","N","279049210",214200,"16290","WIWA","6","P",,"M","PC",,"2","0","1","0","N","1","0",54,,"300",2018-06-06,"063","06","06",,"B","B","B","B","B","B",,,,"B","B","-","-","*","*","O","04","A",2018
"MORA",11273,"SSPT","N","224167925",215500,"16840","WETA","6","R",,"F","R",,"0","0","0","0","N","1","0",92,34,"300",2018-06-06,"074","03","03",,"J","L","J","J","J","J",,,,"A",,"-","-","*","*","B","04","A",2018
"MORA",11273,"SSPT","R","224167925",215500,"16840","WETA","6","P",,"F","B",,"0","3","0","0","N","1","0",93,0,"300",2018-07-06,"100","06","06",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","07","A",2018
"MORA",11273,"SSPT","N","224167934",215500,"16840","WETA","1","PL",,"M","P",,"2","0","1","0","N","1",,90,30,"300",2018-07-06,"110","06","06",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","07","A",2018
"MORA",11273,"SSPT","U",,195300,"18230","SOSP","2","S",,"U",,"1",,,,,,,"3",0,0,"000",2017-08-03,"055","09","09",,,,,,,,,,,,,"-","U","*","*","T","10","A",2017
"MORA",11273,"SSPT","N","160138802",191700,"18320","ORJU","6","PE",,"M","P",,"0","0","0","0","N","1","0",72,18,"300",2017-06-07,"064","09","09",,,,,,,,,,,,,"-","-","*","*","B","04","A",2017
"MORA",11273,"SSPT","R","160138802",191700,"18320","ORJU","6","EP",,"M","P",,"2","0","1","0","N","2","0",72,18,"300",2017-06-27,"064","07","07",,"B","B","B","B","B","B",,,,,,"-","-","*","*","B","06","A",2017
"MORA",11273,"SSPT","R","160138802",191700,"18320","ORJU","6","P",,"M","CP",,"1","0","0","0","N","2","0",76,17,"300",2018-06-06,"093","10","10",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","04","A",2018
"MORA",11273,"SSPT","R","160138802",191700,"18320","ORJU","6","P",,"M","C",,"2","0","0","0","N","2","0",74,0,"300",2018-06-26,"100","04","04",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","06","A",2018
"MORA",11273,"SSPT","R","160138802",191700,"18320","ORJU","6","R",,"M","P",,"0","0","0","0","N","2","0",72,17,"300",2018-07-19,"101","05","05",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","08","A",2018
"MORA",11273,"SSPT","N","160138803",191700,"18320","ORJU","6","PE",,"M","P",,"2","0","0","0","N","2","0",73,18,"300",2017-06-07,"071","08","08",,,,,,,,,,,,,"-","-","*","*","B","04","A",2017
"MORA",11273,"SSPT","N","160138804",191700,"18320","ORJU","6","PE",,"M","P",,"2","0","0","0","N","3","0",79,17,"300",2017-06-07,"071","08","08",,,,,,,,,,,,,"-","-","*","*","B","04","A",2017
"MORA",11273,"SSPT","N","160138805",191700,"18320","ORJU","2","SP",,"U",,"2","0","0","0","0","N","1","3",75,17,"300",2017-06-27,"064","03","03",,,,,,,,,,,,,"-","-","*","*","B","06","A",2017
"MORA",11273,"SSPT","N","160138806",191700,"18320","ORJU","2","SP",,"U",,"1","0","0","0","0","N","0","3",72,16,"300",2017-06-27,"064","07","07",,,,,,,,,,,,,"-","-","*","*","B","06","A",2017
"MORA",11273,"SSPT","N","160138807",191700,"18320","ORJU","5","BE",,"F","B","6","0","2","0","0","N","2","0",72,18,"300",2017-07-20,"073","09","09",,,,,,,,,,,,,"-","-","*","*","B","09","A",2017
"MORA",11273,"SSPT","N","272092913",191700,"18320","ORJU","6","P",,"M","CP",,"3","0","0","0","N","1","0",72,16,"300",2018-06-06,"095","02","02",,"B","B","B","B","B","B",,,,"B","B","-","-","*","*","B","04","A",2018
"MORA",11273,"SSPT","R","272092913",191700,"18320","ORJU","6","P",,"M","C",,"2","0","0","0","N","2","0",70,16,"300",2018-06-26,"100","03","03",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","06","A",2018
"MORA",11273,"SSPT","N","272092914",191700,"18320","ORJU","6","P",,"M","CP",,"3","0","0","0","N","2","0",74,18,"300",2018-06-07,"064","03","03",,"B","B","B","B","B","B",,,,"B","B","-","-","*","*","B","04","B",2018
"MORA",11273,"SSPT","R","272092914",191700,"18320","ORJU","6","P",,"M","P",,"2","0","0","0","N","1","0",72,17,"300",2018-06-11,"055","02","02",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","05","A",2018
"MORA",11273,"SSPT","N","272092915",191700,"18320","ORJU","6","P",,"M","CP",,"3","0","0","0","N","1","0",79,0,"300",2018-06-07,"080","10","10",,"B","B","B","B","B","B",,,,"B","B","-","-","*","*","B","04","B",2018
"MORA",11273,"SSPT","R","272092915",191700,"18320","ORJU","6","R",,"M","C",,"2","0","0","0","N","2","0",76,18,"300",2018-07-06,"070","10","10",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","07","A",2018
"MORA",11273,"SSPT","N","272092922",191700,"18320","ORJU","6","P",,"F","P",,"0","1","0","0","N","3","0",71,0,"300",2018-06-26,"100","07","07",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","06","A",2018
"MORA",11273,"SSPT","R","272092922",191700,"18320","ORJU","6","R",,"F","P",,"0","0","0","0","N","3","0",73,0,"300",2018-07-19,"101","05","05",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","08","A",2018
"MORA",11273,"SSPT","N","272092923",191700,"18320","ORJU","2","SJ",,"U",,"1","0","0","0","3","N","1","2",72,17,"300",2018-06-26,"100","07","07",,"J","J","J","J","J","J",,,,"L",,"-","-","*","*","B","06","A",2018
"MORA",11273,"SSPT","N","272092924",191700,"18320","ORJU","2","SJ",,"U",,"1","0","0","0","1","N","1","2",71,0,"300",2018-06-26,"100","07","07",,"J","J","J","J","J","J",,,,"L",,"-","-","*","*","B","06","A",2018
"MORA",11273,"SSPT","N","272092925",191700,"18320","ORJU","2","SJ",,"U",,"1","0","0","1","1","N","2","2",73,17,"300",2018-06-26,"100","07","07",,"J","J","J","J","J","J",,,,"L",,"-","-","*","*","B","06","A",2018
"MORA",11273,"SSPT","N","272092926",191700,"18320","ORJU","2","SJ",,"U",,"1","0","0","0","1","N","1","2",72,17,"300",2018-06-26,"100","07","07",,"J","J","J","J","J","J",,,,"L",,"-","-","*","*","B","06","A",2018
"MORA",11273,"SSPT","N","272092927",191700,"18320","ORJU","2","SJ",,"U",,"1","0","0","0","0","N","1","1",71,16,"300",2018-06-26,"100","07","07",,"J","J","J","J","J","J",,,,"L",,"-","-","*","*","B","06","A",2018
"MORA",11273,"SSPT","N","272092928",191700,"18320","ORJU","2","SJ",,"U",,"1","0","0","0","2","N","0","2",72,17,"300",2018-06-26,"113","07","07",,"J","J","J","J","J","J",,,,"L",,"-","-","*","*","B","06","A",2018
"MORA",11273,"SSPT","N","272092930",191700,"18320","ORJU","0",,,"U",,,,"0","1","0","N","1","0",72,17,"300",2018-07-06,"070","09","09",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","07","A",2018
"MORA",11273,"SSPT","N","272092931",191700,"18320","ORJU","2","P",,"U",,,"0","0","0","0","N","1","3",77,0,"300",2018-07-19,"071","07","07",,"J","J","J","J","J","J",,,,"J",,"-","-","*","*","B","08","A",2018
"MORA",11273,"SSPT","N","272092932",191700,"18320","ORJU","2","P",,"U",,"3","0","0","0","0","N","0","3",77,15,"300",2018-07-19,"071","07","07",,"J","J","J","J","J","J",,,,"J",,"-","-","*","*","B","08","A",2018
"MORA",11273,"SSPT","N","272092934",191700,"18320","ORJU","2","P",,"U",,"1","0","0","0","2","N","0","3",73,19,"300",2018-07-27,"061","10","10",,"J","J","J","J","J","J",,,,"J",,"-","-","*","*","B","09","A",2018
"MORA",11273,"SSPT","N","272092935",191700,"18320","ORJU","2","P",,"U",,"1","0","0","0","2","N","1","3",76,17,"300",2018-07-27,"061","08","08",,"J","J","J","J","J","J",,,,"J",,"-","-","*","*","B","09","A",2018
"MORA",11273,"SSPT","N","270138006",217300,"18610","BHGR","6","P",,"F","P",,"0","0","1","0","N","2","0",97,42,"300",2018-06-06,"105","02","02",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","04","A",2018
"MORA",11273,"SSPT","N","270138009",217300,"18610","BHGR","6","SP",,"M","P","6","2","0","0","0","N","0","0",101,44,"300",2018-07-19,"065","09","09",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","08","A",2018
"MORA",11273,"SSPT","N","270138010",217300,"18610","BHGR","1","Y",,"F","P","6","0","2","1","0","N","4","0",97,0,"300",2018-07-19,"065","09","09",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","08","A",2018
